Date,Zinc,WTI_Crude,Uranium,Tin,Copper,Hard_Logs,Soft_Logs,Hides,Lead,Nickel,Rubber,Soft_Sawn,Fish_Meal,Cotton,Coal,Iron_Ore,Hard_Sawn
1/1/2017,2779.076018,51.84860935,23.98725296,20004.48546,5840.034153,261.8435163,181.8671221,76.51992754,2278.347654,10273.14244,115.4129497,308.4785773,1139.707936,84.75618703,87.90920881,85.65461133,674.928
4/1/2017,2592.842893,48.29843083,21.54710145,19923.16456,5667.741222,268.0068434,188.4130509,70.79318182,2159.550024,9232.05273,93.20781034,321.2484477,1102.421706,86.81261424,85.30081942,63.29802372,696.8006667
7/1/2017,2961.591631,48.13724638,20.39979296,20513.69841,6349.303571,268.170706,188.8294564,62.44456522,2330.905303,10532.38528,82.03786413,320.8432683,1142.765103,81.34458874,99.44046073,70.18771567,713.2428333
10/1/2017,3229.952153,55.41246032,22.42334055,19803.32735,6822.680821,263.6966667,203.7207334,61.80721501,2489.85626,11600.95933,72.50377317,329.0140101,1260.231703,81.47986443,103.9018284,65.3975469,723.4666667
1/1/2018,3414.533766,62.85610672,22.28644598,21186.79986,6957.185281,274.9393313,231.2689759,65.97201337,2518.38447,13284.41667,77.79993292,339.5190185,1476.923296,90.48667749,109.7126708,74.91693017,758.4946667
4/1/2018,3112.163492,67.91198068,21.96497585,20936.81905,6880.881151,272.8890953,214.7510321,61.89628427,2383.208929,14470.08095,74.63784926,345.2701729,1376.979919,94.8077381,110.0409609,66.60697032,741.963
7/1/2018,2534.266667,69.7218531,25.52374506,19308.56439,6117.519318,266.9923482,205.4545815,55.78025075,2094.489773,13238.52197,65.91240711,344.3596246,1281.798113,93.69560606,123.6832955,67.95573123,710.3348333
10/1/2018,2628.55219,58.65142324,28.40156377,19148.64028,6163.607734,263.994978,194.19,50.0015873,1965.661258,11463.23597,63.29515135,349.1333333,1264.692799,86.52412281,109.4862143,71.07398519,700.979
1/1/2019,2709.162428,54.83240028,28.18608351,21038.36825,6226.351353,270.2313934,187.2666667,42.92952077,2035.462716,12411.52991,74.5166328,348.83,1272.557112,82.43802309,102.1427798,83.28714286,709.6626667
4/1/2019,2758.894841,59.76212912,24.95477602,19773.80159,6112.830754,270.882013,184.07,39.66666667,1884.625992,12244.34484,83.0309968,351.5033333,1300.102016,81.67853175,85.31958333,101.9369565,700.5793333
7/1/2019,2350.360766,56.40164314,25.30808551,17139.15166,5803.295376,277.4535924,187.7766667,35.82651515,2030.678054,15650.60939,71.86350411,362.7666667,1210.59482,72.54240856,71.51458888,101.7829538,671.5853333
10/1/2019,2383.221955,56.98244463,25.17682885,16693.30583,5898.104236,273.8454585,184.44,38.553467,2035.259739,15349.15064,69.93154792,352.3666667,1220.874231,74.85730849,69.79599305,87.48966372,701.7238333
1/1/2020,2123.723106,46.06451845,24.66338933,16266.79697,5633.863636,273.2974737,201.0066667,39.13043974,1843.636894,12689.54697,71.7487766,355.0433333,1289.853713,74.44068182,71.12040584,90.50049407,698.0905
4/1/2020,1968.134726,27.96810245,32.18805916,15730.85311,5350.797923,276.8929856,190.0866667,26.72651515,1676.241482,12236.92235,62.28614998,354.4033333,1285.677194,65.67837719,57.92368934,92.80808081,676.9440333
7/1/2020,2344.522851,40.90794372,31.23962607,17693.84662,6528.584576,280.6159458,196.2433333,27.17748918,1875.702635,14278.52514,79.08633572,334.6066667,1291.629315,69.77918314,51.6867956,117.0310559,708.2822
10/1/2020,2630.702821,42.71321632,29.63199699,18810.34115,7184.985534,285.1558845,219.42,37.20227273,1904.119286,15956.71185,106.4725574,346.8266667,1293.025906,77.85371573,67.20190167,131.9463423,727.3099667
1/1/2021,2747.261486,57.79033333,28.95147516,25098.99583,8477.111775,281.1254609,224.4233333,41.93859649,2014.279478,17618.07214,105.9351047,351.6333333,1374.860621,90.4823913,92.90399068,165.2674086,751.4641667
4/1/2021,2916.828258,66.10264791,30.71717362,31038.29015,9707.534167,272.0126177,233.94,49.59090909,2128.494197,17367.63947,100.6040274,417.8766667,1470.679648,92.04046252,111.4025812,198.9743108,762.1295
7/1/2021,2990.494351,70.58984848,36.52149621,34643.82818,9381.889524,270.409369,243.25,57.75396825,2333.426328,19112.22768,84.13235393,331.11,1476.284626,100.8955267,171.6298237,163.3835227,751.0463333
